sep=;
Input;Time (ms);Desired Location;Desired OS;Desired dedication;Desired period;Desired storage;Desired usage;Desired ECU;Desired RAM;Desired ssd;Result Location;Result OS;Result Dedication;Result Purchase;Result Instance;Result EBS;Total Cost;Cost Month;Cost Hour;ECU;Cores;RAM;SSD;Storage;EBS Storage;Signed Usage;Period;
Config 1.fmc; 870;Dedicated;LinuxBased;VA;1;324;202;13.0;8.0;1;VA;Linux;Dedicated;OnDemand;M3_xlarge;ssdEBS;490.0;490616.0;0.308;13.0;4.0;15.0;1.0;324.0;244.0;202.0;1.0;
Config 10.fmc; 902;Public;LinuxBased;SouthAmerica;28;852;587;12.0;8.0;1;SaoPaulo;Linux;Public;OneYearHeavy;M3_xlarge;ssdEBS;6892.0;207270.0;0.083;13.0;4.0;15.0;1.0;852.0;772.0;730.0;28.0;
Config 100.fmc; 802;Public;LinuxBased;SouthAmerica;4;804;310;4.0;9.0;0;SaoPaulo;Linux;Public;OnDemand;M1_xlarge;null;579.0;144770.0;0.467;8.0;4.0;15.0;0.0;1680.0;0.0;310.0;4.0;
Config 101.fmc; 627;Public;LinuxBased;JP;13;429;188;54.0;36.0;0;Tokyo;Linux;Public;OnDemand;C3_8xlarge;null;4993.0;384084.0;2.043;108.0;32.0;60.0;1.0;640.0;0.0;188.0;13.0;
Config 102.fmc; 416;Public;LinuxBased;JP;13;2649;553;42.0;157.0;1;Tokyo;Linux;Public;OneYearMedium;I2_8xlarge;null;36694.0;1474851.0;2.667;104.0;32.0;244.0;1.0;6400.0;0.0;553.0;13.0;
Config 103.fmc; 598;Dedicated;WindowsSQLStd;AsiaOceania;33;553;553;13.0;8.0;1;SIN;WindowsSQLStd;Dedicated;OneYearMedium;M3_xlarge;ssdEBS;53819.0;1550966.0;0.702;13.0;4.0;15.0;1.0;553.0;473.0;553.0;33.0;
Config 104.fmc; 392;Dedicated;WindowsSQLStd;SIN;42;178;431;23.0;13.0;1;SIN;WindowsSQLStd;Dedicated;OneYearMedium;M3_2xlarge;ssdEBS;64552.0;1421443.0;1.293;26.0;8.0;30.0;1.0;178.0;18.0;431.0;42.0;
Config 105.fmc; 392;Dedicated;WindowsSQLStd;SIN;24;9889;55;66.0;97.0;1;Invalid;
Config 106.fmc; 694;Dedicated;Linux;SIN;24;288;55;14.0;4.0;0;SIN;Linux;Dedicated;OnDemand;C1_xlarge;null;3591.0;149655.0;0.721;20.0;8.0;7.0;0.0;1680.0;0.0;55.0;24.0;
Config 107.fmc; 286;Public;Suse;SouthAmerica;34;914;665;59.0;23.0;0;SaoPaulo;Suse;Public;OneYearHeavy;C3_8xlarge;ssdEBS;26164.0;445530.0;0.539;108.0;32.0;60.0;1.0;914.0;274.0;730.0;34.0;
Config 108.fmc; 286;Public;WindowsBased;ORE;5;7595;298;68.0;61.0;0;Invalid;
Config 109.fmc; 930;Public;WindowsBased;ORE;5;37;177;3.0;3.0;1;ORE;Windows;Public;OnDemand;M3_medium;ssdEBS;134.0;26841.0;0.133;3.0;1.0;3.75;1.0;37.0;33.0;177.0;5.0;
Config 11.fmc; 450;Dedicated;RedHat;SIN;38;478;99;56.0;26.0;0;SIN;RedHat;Dedicated;OnDemand;C3_8xlarge;null;15977.0;420453.0;2.247;108.0;32.0;60.0;1.0;640.0;0.0;99.0;38.0;
Config 110.fmc; 737;Dedicated;Linux;AsiaOceania;15;663;177;28.0;27.0;1;Tokyo;Linux;Dedicated;OnDemand;C3_4xlarge;ssdEBS;8908.0;593931.0;1.123;55.0;16.0;30.0;1.0;663.0;343.0;177.0;15.0;
Config 111.fmc; 364;Dedicated;Windows;NorthAmerica;15;5477;301;63.0;170.0;1;VA;Windows;Dedicated;OneYearLight;I2_8xlarge;null;31853.0;1780114.0;3.914;104.0;32.0;244.0;1.0;6400.0;0.0;301.0;15.0;
Config 112.fmc; 832;Dedicated;Windows;NorthAmerica;24;416;179;16.0;6.0;0;VA;Windows;Dedicated;OneYearLight;C1_xlarge;null;12493.0;487954.0;0.726;20.0;8.0;7.0;0.0;1680.0;0.0;179.0;24.0;
Config 113.fmc; 544;Public;Windows;CA;24;416;179;20.0;35.0;0;CA;Windows;Public;OneYearMedium;M2_4xlarge;null;5248.0;110622.0;0.618;26.0;8.0;68.4;0.0;1680.0;0.0;179.0;24.0;
Config 114.fmc; 302;Public;RedHat;AUS;44;3183;544;65.0;134.0;1;Sydney;RedHat;Public;ThreeYearsMedium;I2_8xlarge;null;76329.0;1136960.0;2.09;104.0;32.0;244.0;1.0;6400.0;0.0;544.0;44.0;
Config 115.fmc; 383;Dedicated;RedHat;VA;5;165;422;5.0;5.0;1;VA;RedHat;Dedicated;OnDemand;M3_large;ssdEBS;4738.0;947608.0;0.214;6.5;2.0;7.5;1.0;165.0;133.0;422.0;5.0;
Config 116.fmc; 435;Dedicated;RedHat;VA;5;165;546;58.0;11.0;1;VA;RedHat;Dedicated;OnDemand;C3_8xlarge;null;10401.0;2080260.0;1.81;108.0;32.0;60.0;1.0;640.0;0.0;546.0;5.0;
Config 117.fmc; 223;Dedicated;WindowsSQLWeb;AsiaOceania;5;1064;546;59.0;242.0;0;Tokyo;WindowsSQLWeb;Dedicated;OnDemand;CR1_8xlarge;ssdEBS;18575.0;3715038.0;4.623;88.0;32.0;244.0;1.0;1064.0;824.0;546.0;5.0;
Config 118.fmc; 519;Public;WindowsSQLWeb;SIN;14;918;424;18.0;8.0;0;SIN;WindowsSQLWeb;Public;OneYearMedium;C3_2xlarge;ssdEBS;6641.0;347904.0;0.606;28.0;8.0;15.0;1.0;918.0;758.0;424.0;14.0;
Config 119.fmc; 279;Public;WindowsSQLWeb;SIN;14;42;58;27.0;19.0;0;SIN;WindowsSQLWeb;Public;OnDemand;C3_4xlarge;null;1758.0;125628.0;2.166;55.0;16.0;30.0;1.0;320.0;0.0;58.0;14.0;
Config 12.fmc; 356;Public;Suse;ORE;19;2285;709;91.0;213.0;1;ORE;Suse;Public;OneYearHeavy;I2_8xlarge;null;40728.0;1368020.0;1.874;104.0;32.0;244.0;1.0;6400.0;0.0;730.0;19.0;
