sep=;
Input;Time (ms);Desired Location;Desired OS;Desired dedication;Desired period;Desired storage;Desired usage;Desired ECU;Desired RAM;Desired ssd;Result Location;Result OS;Result Dedication;Result Purchase;Result Instance;Result EBS;Total Cost;Cost Month;Cost Hour;ECU;Cores;RAM;SSD;Storage;EBS Storage;Signed Usage;Period;
Config 1.fmc; 92699;Dedicated;LinuxBased;VA;1;324;202;13.0;8.0;1;VA;Linux;Dedicated;OnDemand;M3_xlarge;ssdEBS;490.616;490.616;0.308;13.0;4.0;15.0;1.0;324.0;244.0;202.0;1.0;
Config 10.fmc; 525202;Public;LinuxBased;SouthAmerica;28;852;587;12.0;8.0;1;SaoPaulo;Linux;Public;OneYearHeavy;M3_xlarge;ssdEBS;6892.5599999999995;207.26999999999998;0.083;13.0;4.0;15.0;1.0;852.0;772.0;730.0;28.0;
Config 100.fmc; 388376;Public;LinuxBased;SouthAmerica;4;804;310;4.0;9.0;0;SaoPaulo;Linux;Public;OnDemand;M1_xlarge;null;579.0799999999999;144.76999999999998;0.467;8.0;4.0;15.0;0.0;1680.0;0.0;310.0;4.0;
Config 101.fmc; 92128;Public;LinuxBased;JP;13;429;188;54.0;36.0;0;Tokyo;Linux;Public;OnDemand;C3_8xlarge;null;4993.092000000001;384.08400000000006;2.043;108.0;32.0;60.0;1.0;640.0;0.0;188.0;13.0;
Config 102.fmc; 52406;Public;LinuxBased;JP;13;2649;553;42.0;157.0;1;Tokyo;Linux;Public;OneYearMedium;I2_8xlarge;null;36694.062999999995;1474.851;2.667;104.0;32.0;244.0;1.0;6400.0;0.0;553.0;13.0;
Config 103.fmc; 535575;Dedicated;WindowsSQLStd;AsiaOceania;33;553;553;13.0;8.0;1;SIN;WindowsSQLStd;Dedicated;OneYearMedium;M3_xlarge;ssdEBS;53819.878;1550.966;0.702;13.0;4.0;15.0;1.0;553.0;473.0;553.0;33.0;
Config 104.fmc; 98705;Dedicated;WindowsSQLStd;SIN;42;178;431;23.0;13.0;1;SIN;WindowsSQLStd;Dedicated;OneYearMedium;M3_2xlarge;ssdEBS;64552.606;1421.443;1.293;26.0;8.0;30.0;1.0;178.0;18.0;431.0;42.0;
Config 105.fmc; Invalid;
Config 106.fmc; 120373;Dedicated;Linux;SIN;24;288;55;14.0;4.0;0;SIN;Linux;Dedicated;OnDemand;C1_xlarge;null;3591.72;149.65499999999997;0.721;20.0;8.0;7.0;0.0;1680.0;0.0;55.0;24.0;
Config 107.fmc; 52008;Public;Suse;SouthAmerica;34;914;665;59.0;23.0;0;SaoPaulo;Suse;Public;OneYearHeavy;C3_8xlarge;ssdEBS;26164.02;445.53;0.539;108.0;32.0;60.0;1.0;914.0;274.0;730.0;34.0;
