FM;Tenants;Prefrences per tenant;Round;Current tenants;Time;F(Ct-1);F(Ct);
WindowsDaaS;4;4;0;3;7254;69531.0;44698.5;
WindowsDaaS;4;4;1;4;6879;5618340.0;5618340.0;
WindowsDaaS;4;4;2;5;8065;1.847548828125E8;5.225923828125E8;
WindowsDaaS;4;4;3;6;8658;1.1553842010498047E9;1.9806586303710938E9;
WindowsDaaS;4;4;4;5;8003;3.36111767578125E8;3.5211708984375E8;
WindowsDaaS;4;4;5;6;8580;2.7084732055664062E7;4.5601844787597656E7;
WindowsDaaS;4;4;6;5;7957;1516113.28125;2274169.921875;
WindowsDaaS;4;4;7;6;8767;1.5590166187500005E9;1.9747543837499995E9;
WindowsDaaS;4;4;8;5;8285;3.4644813749999994E8;2.8870678124999994E8;
WindowsDaaS;4;4;9;6;8690;1.0769789645999996E10;2.9014663552875E10;
WindowsDaaS;4;5;0;3;6895;1021440.0;1276800.0;
WindowsDaaS;4;5;1;4;7614;2.9561112E8;4.3919366400000006E8;
WindowsDaaS;4;5;2;5;7879;2.850535800000001E10;3.7413282375E10;
WindowsDaaS;4;5;3;4;7271;1.49688E7;1.5444E7;
WindowsDaaS;4;5;4;5;7661;4.347998211375E9;4.347998211375E9;
WindowsDaaS;4;5;5;6;8439;1.38874409037E11;1.38874409037E11;
WindowsDaaS;4;5;6;7;8846;6.0030540487575E12;5.055203409479998E12;
WindowsDaaS;4;5;7;8;9268;2.5287570329226006E14;2.615391889254143E14;
WindowsDaaS;4;5;8;7;8846;7.970718138679293E12;3.8027292115967153E12;
WindowsDaaS;4;5;9;8;9282;3.450897894476268E13;5.900900305682951E13;
WindowsDaaS;4;5;10;9;9533;2.0431441438853375E15;1.9138022457009998E15;
WindowsDaaS;4;5;11;8;9268;1.7149185356889602E13;1.4444504267887967E13;
WindowsDaaS;4;5;12;9;9751;8.619574869388703E13;1.2036060908528227E14;
WindowsDaaS;4;5;13;8;9657;5.167025104820767E11;5.971017945205027E11;
WindowsDaaS;4;5;14;9;10453;1.109749511224026E14;3.925516845501597E14;
WindowsDaaS;4;5;15;10;9892;1.27813464033375328E17;5.834527692467624E16;
WindowsDaaS;4;5;16;9;9486;6.286798235089485E14;6.286798235089485E14;
WindowsDaaS;4;5;17;10;9860;2.123488721491056E16;2.123488721491056E16;
WindowsDaaS;4;5;18;9;9532;2.1039605435282385E15;2.1039605435282385E15;
WindowsDaaS;4;5;19;10;10126;4.1017343121712736E16;7.885921806450686E15;
WindowsDaaS;4;5;20;9;10859;5.131956519022666E13;1.05659947595664E14;
WindowsDaaS;4;5;21;10;10156;0.0;1.9838530511528965E15;
WindowsDaaS;4;5;22;9;9954;0.0;0.0;
WindowsDaaS;4;5;23;8;9408;9.704476155838467E12;9.704476155838467E12;
WindowsDaaS;4;5;24;7;9158;5.6778510207744E10;5.6778510207744E10;
WindowsDaaS;4;6;0;5;10732;5.40750518875E10;5.3377309282500015E10;
WindowsDaaS;4;6;1;6;9266;4.057168084991999E12;2.9593461325823984E12;
WindowsDaaS;4;6;2;5;8096;6.568151039999999E9;1.202722360888889E10;
WindowsDaaS;4;6;3;6;8519;2.26799073767619E12;2.306588013714285E12;
WindowsDaaS;4;6;4;7;8783;5.698522192854856E13;5.988141852753344E13;
WindowsDaaS;4;6;5;6;8534;6.164926489285713E11;1.0203141294843748E12;
WindowsDaaS;4;6;6;7;8752;1.2186376884029E14;1.3022734612387498E14;
WindowsDaaS;4;6;7;8;9158;3.259972122662229E14;5.4499132047359975E14;
WindowsDaaS;4;6;8;7;8924;1.49854408704E10;1.3234453872639996E10;
WindowsDaaS;4;6;9;6;8518;9.023491276799997E8;1.2053643263999999E9;
WindowsDaaS;4;6;10;5;8128;5.3576459485714275E8;5.3576459485714275E8;
WindowsDaaS;4;6;11;6;8643;2.6520347445428566E10;2.2296938495751556E10;
WindowsDaaS;4;6;12;5;8206;1.3683005555555552E8;3.663284444444445E8;
WindowsDaaS;4;6;13;4;7707;466555.5555555557;687555.5555555556;
WindowsDaaS;4;6;14;5;8316;1.9574743500000006E8;2.1628343822544646E8;
WindowsDaaS;4;6;15;4;7692;225041.14285714284;254592.0;
WindowsDaaS;4;6;16;3;7270;4080.0;4080.0;
WindowsDaaS;4;6;17;4;7816;1243718.0000000002;1442040.6000000003;
WindowsDaaS;4;6;18;5;8159;2.0358115555555555E8;1.1946666666666667E8;
WindowsDaaS;4;6;19;6;8659;3.4115016499200006E9;3.571871385600001E9;
WindowsDaaS;4;6;20;7;8862;1.0269902740740741E12;6.3642112625E11;
WindowsDaaS;4;6;21;6;9236;52648.94953125001;89237.80125;
WindowsDaaS;4;6;22;5;8206;2179.1892857142857;3936.6;
WindowsDaaS;4;6;23;6;8674;1065506.4;618374.25;
WindowsDaaS;4;6;24;5;8268;4976.64;22809.6;
WindowsDaaS;4;7;0;5;8143;4.535995464E10;5.7054317945625E10;
WindowsDaaS;4;7;1;4;7910;1.35209088E8;1.35209088E8;
WindowsDaaS;4;7;2;5;8160;3.2317731401142857E10;3.27024662987755E10;
WindowsDaaS;4;7;3;6;8580;2.943221966889796E12;3.9993192608914287E12;
WindowsDaaS;4;7;4;5;8237;4.509597570612245E9;4.509597570612245E9;
WindowsDaaS;4;7;5;6;8581;4.003440703771066E11;4.9357197675044446E11;
WindowsDaaS;4;7;6;5;8191;4.099860387611389E8;4.3731844134521484E8;
WindowsDaaS;4;7;7;6;8799;1.9288866966476443E11;2.3041904430541992E11;
WindowsDaaS;4;7;8;5;8097;3.1405733333333335E9;2.3802240000000005E9;
WindowsDaaS;4;7;9;6;8550;2.3844986880000006E11;3.62235456E11;
WindowsDaaS;4;7;10;7;8846;1.2358671137884553E13;1.4412330295081045E13;
WindowsDaaS;4;7;11;6;8628;2.0393245016063994E12;2.0057829801984E12;
WindowsDaaS;4;7;12;7;8892;2.7769160442357555E10;5.1467368155428566E10;
WindowsDaaS;4;7;13;6;8721;6.849607761919999E9;1.0112886374400002E10;
WindowsDaaS;4;7;14;5;8347;1.5682577554285714E8;2.0620441599999997E8;
WindowsDaaS;4;7;15;6;8659;2.06902660965E10;1.7018852234999998E10;
WindowsDaaS;4;7;16;5;8129;2.38164696E9;4.957872919999999E9;
WindowsDaaS;4;7;17;6;8612;7.14157758388148E11;6.148221229933715E11;
WindowsDaaS;4;7;18;5;8191;6.771221578367999E10;2.3258377584E10;
WindowsDaaS;4;7;19;4;7691;8.53632E7;4.2634176E8;
WindowsDaaS;4;7;20;5;8222;5.319531977142857E10;7.092709302857143E10;
WindowsDaaS;4;7;21;6;8628;2.4720433635857147E10;2.082427833455357E10;
WindowsDaaS;4;7;22;7;8815;5.182760277879009E12;4.475083401142265E12;
WindowsDaaS;4;7;23;6;8628;5.702181122448979E9;2.791836734693878E9;
WindowsDaaS;4;7;24;5;8223;9.847348662857145E7;1.969469732571429E8;
WindowsDaaS;4;8;0;3;7379;416882.8125;720000.0;
WindowsDaaS;4;8;1;4;7847;2.8169856E8;2.848978275E8;
WindowsDaaS;4;8;2;3;7411;483697.5;572000.0;
WindowsDaaS;4;8;3;4;7801;2.5814674285714287E8;2.97594792E8;
WindowsDaaS;4;8;4;5;8207;1.984647666955078E10;2.594724309475708E10;
WindowsDaaS;4;8;5;6;8455;9.227795644124349E11;2.597514335614929E12;
WindowsDaaS;4;8;6;5;8144;3.520261826813507E8;4.5025682625E8;
WindowsDaaS;4;8;7;4;7755;1229580.0;1967328.0;
WindowsDaaS;4;8;8;5;8098;5.90133245625E8;7.503452009802246E8;
WindowsDaaS;4;8;9;6;8893;4.4672529111328125E9;2.38912254E10;
WindowsDaaS;4;8;10;5;8160;1.3038750000000005E9;1.7385E9;
WindowsDaaS;4;8;11;4;7738;761904.761904762;960000.0000000001;
WindowsDaaS;4;8;12;5;8221;5.431505625E8;4.045178475E8;
WindowsDaaS;4;8;13;4;7910;2.8894131964285713E7;4.1641543125E7;
WindowsDaaS;4;8;14;3;7473;814285.7142857143;855000.0;
WindowsDaaS;4;8;15;4;7910;1.9137700561224487E8;1.8011953469387752E8;
WindowsDaaS;4;8;16;5;8253;3.54576943125E10;4.799254327844238E10;
WindowsDaaS;4;8;17;6;8628;4.728875018951156E12;4.882789020690308E12;
WindowsDaaS;4;8;18;5;8206;5687492.571428572;6120236.571428571;
WindowsDaaS;4;8;19;6;8628;9.994881600000001E8;1.0162259999999998E9;
